"protein_id","log2FC","padj","neg_log10padj","DAP"
"Td00001aa000021_T002",-0.510457064357526,0.130268436742722,0.88516079847763,"NS"
"Td00001aa000031_T001",-1.32192809488736,0.0703945485676993,1.15246097180443,"NS"
"Td00001aa000033_T003",-1.43440282414577,0.0850707626171982,1.07021967394299,"NS"
"Td00001aa000034_T001",-1.88896868761126,0.238659445427118,0.622221372880804,"NS"
"Td00001aa000041_T001",-0.00868224309980088,0.657912005488087,0.181832188584336,"NS"
"Td00001aa000042_T001",0.618238655595455,0.341692672395724,0.466364334552788,"NS"
"Td00001aa000049_T001",-0.522840788813359,0.0509077450826476,1.2932161392591,"NS"
"Td00001aa000066_T002",-0.172993990361023,0.990683987593335,0.00406485644426753,"NS"
"Td00001aa000068_T001",0.133563525741106,0.477597511667863,0.320937944591693,"NS"
"Td00001aa000081_T004",0.523060061795249,0.347379817785383,0.459195416974276,"NS"
"Td00001aa000082_T002",0.6535186707536,0.302916351148056,0.518677283214811,"NS"
"Td00001aa000084_T001",-0.209227962138,0.276676968217253,0.558026991897981,"NS"
"Td00001aa000086_T002",0.713695814843359,0.0931877675818175,1.03064109215649,"NS"
"Td00001aa000108_T001",-0.57132159005177,0.692181881267832,0.159779773097926,"NS"
"Td00001aa000109_T003",0.321928094887362,0.410004502480129,0.38721137403261,"NS"
"Td00001aa000115_T003",-0.244685095954902,0.33639813797396,0.473146416767919,"NS"
"Td00001aa000119_T001",-0.139235797371172,0.586033974039394,0.232077205978255,"NS"
"Td00001aa000122_T001",-0.109358756036556,0.569229357030759,0.244712710014864,"NS"
"Td00001aa000125_T004",-0.753895990116083,0.328280096318213,0.48375544782567,"NS"
"Td00001aa000136_T001",-0.227692025041597,0.141221415405413,0.850099440060613,"NS"
"Td00001aa000146_T001",-0.161653263478769,0.128928888499372,0.889649761388352,"NS"
"Td00001aa000149_T001",-0.77595972578207,0.0943110054478743,1.02543762511635,"NS"
"Td00001aa000150_T003",-0.0276749584428483,0.836898214965065,0.0773273584548034,"NS"
"Td00001aa000154_T002",-0.564904848379903,0.0136497754902912,1.8648744917829,"NS"
"Td00001aa000157_T001",-0.364013496254377,0.229487662135035,0.639240658321525,"NS"
"Td00001aa000159_T001",-0.330973234490369,0.0902130468311754,1.04473064918712,"NS"
"Td00001aa000161_T001",-0.330973234490369,0.00535542097466423,2.27120638481574,"NS"
"Td00001aa000184_T001",0.748461233004036,0.028052058449272,1.55203526487628,"NS"
"Td00001aa000186_T001",-0.691988685447822,0.310511128728716,0.507922830080441,"NS"
"Td00001aa000209_T001",-0.189351252217354,0.148752898022926,0.827534564536523,"NS"
"Td00001aa000220_T001",-0.720231578406405,0.00763743657910662,2.11705238309419,"NS"
"Td00001aa000228_T002",0.738119288782576,0.00743743335380412,2.12857691292118,"NS"
"Td00001aa000229_T001",-0.891642821909581,0.0541473788626853,1.26642256162451,"NS"
"Td00001aa000234_T001",-0.62148837674627,0.00573764133359751,2.24126660347725,"NS"
"Td00001aa000235_T002",-0.217591435072627,0.137658610194552,0.861196619410237,"NS"
"Td00001aa000236_T001",1.47248777146274,0.00677164230814281,2.16930599027109,"Up"
"Td00001aa000244_T001",-1.01741705307741,0.168412914817433,0.773624607498588,"NS"
"Td00001aa000251_T001",-0.15360697914764,0.920126127077465,0.036152637285601,"NS"
"Td00001aa000271_T002",0.13224779829844,0.78097990627386,0.107360139882809,"NS"
"Td00001aa000272_T006",-0.558516520417355,0.0160176048915723,1.7954024233416,"NS"
"Td00001aa000301_T001",-0.295128035543647,0.385745297447952,0.41369935963903,"NS"
"Td00001aa000317_T003",-0.67116353577046,0.1006046193153,0.997382077957152,"NS"
"Td00001aa000324_T003",-0.100051013810328,0.679776889243245,0.167633604455436,"NS"
"Td00001aa000336_T002",0.895302621333307,0.00264060412071757,2.57829670332732,"NS"
"Td00001aa000346_T001",0.0935601761623378,0.461818050544471,0.33552909632431,"NS"
"Td00001aa000350_T001",0.151858816727005,0.302618679629292,0.519104267953471,"NS"
"Td00001aa000354_T001",-0.125006361067033,0.230832723205931,0.636702624890674,"NS"
"Td00001aa000358_T001",-0.118726938570751,0.246179606017294,0.608747927688245,"NS"
"Td00001aa000380_T001",-0.0320936297098533,0.853549992665621,0.0687710370530825,"NS"
"Td00001aa000382_T001",0.104336659814736,0.714138827709659,0.146217353703511,"NS"
"Td00001aa000422_T001",0.569491091958716,0.0633277029469168,1.19840626462658,"NS"
"Td00001aa000432_T001",0.172487515510134,0.699949734170081,0.154933147066306,"NS"
"Td00001aa000433_T001",0.399444564589458,0.0304509077297422,1.51639975668817,"NS"
"Td00001aa000441_T001",-2.01741705307741,0.00700905780875302,2.15434035806198,"Down"
"Td00001aa000442_T001",-0.524915117051217,0.294366779525471,0.531111203447455,"NS"
"Td00001aa000457_T002",0.10701824988212,0.843811907072907,0.0737543505592886,"NS"
"Td00001aa000466_T003",0.482332020747376,0.0488995419043143,1.31069520937046,"NS"
"Td00001aa000473_T004",-0.601649629654035,0.00354387985324326,2.45052101024942,"NS"
"Td00001aa000490_T002",-0.192645077942396,0.431235280850399,0.365285715233554,"NS"
"Td00001aa000495_T001",-0.22431729826094,0.7963983671568,0.0988696390709445,"NS"
"Td00001aa000497_T001",0.257010618206024,0.387227190045258,0.412034155309851,"NS"
"Td00001aa000499_T001",0.00719550140420377,0.853316755365532,0.0688897266615712,"NS"
"Td00001aa000504_T001",-0.199255376063222,0.239778857468213,0.620189113521125,"NS"
"Td00001aa000506_T001",0.0271540515037266,0.434805504903337,0.361704966117462,"NS"
"Td00001aa000530_T001",-0.0130430374755989,0.7515846439349,0.124022101805235,"NS"
"Td00001aa000533_T003",0.633198686374004,0.415637972888735,0.381284781945744,"NS"
"Td00001aa000540_T001",1.30100225603281,0.0670817875216329,1.17339537331046,"NS"
"Td00001aa000547_T002",-0.0159575739029762,0.781356855511852,0.107150573058039,"NS"
"Td00001aa000549_T001",-2.17788172527066,5.27005323550378e-05,4.27818499773456,"Down"
"Td00001aa000573_T001",-0.424687669312563,0.00168669726688667,2.77296285879717,"NS"
"Td00001aa000579_T003",-0.744197163397282,0.0111661616807946,1.95209608805924,"NS"
"Td00001aa000601_T001",0.393965275660243,0.143481378447581,0.843204459642417,"NS"
"Td00001aa000614_T002",-0.810966175609983,0.00465309254858948,2.33225830939624,"NS"
"Td00001aa000638_T003",-0.0588936890535686,0.324010913521405,0.489440361391224,"NS"
