"analysis_ID"	"analysis_ID_plastome"	"species_orig"	"acc_species"	"acc_species_author"	"acc_genus"	"acc_genus_author"	"publication"	"data_type"	"isolate"	"voucher_ID"	"germplasm_ID"	"repo_accession"	"plastome_accession"	"removed_nuclear"	"removed_plastome"	"soreng2022_genus"	"subtribe"	"tribe"	"subfamily"	"major.clade"
"GAP_81105__Cynochloris_reynoldensis"	NA	"× Cynochloris reynoldsensis"	"× Cynochloris reynoldsensis"	"B.K.Simon"	"× Cynochloris"	"Clifford & Everist"	"https://www.genomicsforaustralianplants.com/"	"sequence capture (Angiosperms353)"	NA	"BRI: B.K. Simon 3804"	NA	NA	NA	NA	"data thresholds"	"Cynodon"	"Eleusininae"	"Cynodonteae"	"Chloridoideae"	"PACMAD"
"Hibanobambusa_tranquillans1510__MD"	"Hibanobambusa_tranquillans1510__MD"	"Hibanobambusa tranquillans"	"× Phyllosasa tranquillans"	"(Koidz.) Demoly"	"× Phyllosasa"	"Demoly"	"Unpublished"	"shotgun"	NA	NA	NA	NA	NA	"data thresholds"	NA	"Phyllostachys"	"Arundinariinae"	"Arundinarieae"	"Bambusoideae"	"BOP"
"PAFTOL_6377__Aakia_tuerckheimii"	"PAFTOL_6377__Aakia_tuerckheimii"	"Aakia tuerckheimii"	"Aakia tuerckheimii"	"(Hack.) J.R.Grande"	"Aakia"	"J.R.Grande"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Stevens, W.D.; Martinez, E.  25890"	NA	"INSDC: ERR7619915"	NA	NA	NA	"Aakia"	"Paspalinae"	"Paspaleae"	"Panicoideae"	"PACMAD"
"Achnatherum_chingii_Z16027__HM"	NA	"Achnatherum chingii"	"Achnatherum chingii"	"(Hitchc.) Keng"	"Achnatherum"	"P.Beauv."	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: Z16027"	NA	NA	"INSDC: SRR16234968"	NA	NA	"data thresholds"	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
"Achnatherum_inebrians_Z18089__HM"	NA	"Achnatherum inebrians"	"Achnatherum inebrians"	"(Hance) Keng"	"Achnatherum"	"P.Beauv."	"Zhang et al. 2022 MBE"	"transcriptome"	"FDS: Z18089"	NA	NA	"INSDC: SRR16483096"	NA	NA	NA	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
NA	"MW423581.1__Achnatherum_inebrians"	"Achnatherum inebrians"	"Achnatherum inebrians"	"(Hance) Keng"	"Achnatherum"	"P.Beauv."	NA	"plastome"	NA	NA	NA	NA	"INSDC: MW423581"	NA	NA	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
"Achnatherum_pekinense_ZY050__HM"	NA	"Achnatherum pekinense"	"Achnatherum pekinense"	"(Hance) Ohwi"	"Achnatherum"	"P.Beauv."	"Zhang et al. 2022 MBE"	"transcriptome"	"FDS: ZY050"	NA	NA	"INSDC: SRR16483088"	NA	NA	NA	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
NA	"NC_058870.1__Achnatherum_pekinense"	"Achnatherum pekinense"	"Achnatherum pekinense"	"(Hance) Ohwi"	"Achnatherum"	"P.Beauv."	NA	"plastome"	NA	NA	NA	NA	"INSDC: NC_058870"	NA	NA	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
"Achnatherum_sibiricum_Z18063__HM"	NA	"Achnatherum sibiricum"	"Achnatherum sibiricum"	"(L.) Keng ex Tzvelev"	"Achnatherum"	"P.Beauv."	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: Z18063"	NA	NA	"INSDC: SRR16234948"	NA	NA	NA	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
"Stipa_sibirica__SRA"	NA	"Stipa sibirica"	"Achnatherum sibiricum"	"(L.) Keng ex Tzvelev"	"Achnatherum"	"P.Beauv."	"data from SRA"	"shotgun"	"LN1_plant"	NA	NA	"INSDC: SRR8208359"	NA	NA	"data thresholds"	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
NA	"NC_062946.1__Stipa_sibirica"	"Achnatherum sibiricum"	"Achnatherum sibiricum"	"(L.) Keng ex Tzvelev"	"Achnatherum"	"P.Beauv."	NA	"plastome"	NA	NA	NA	NA	"INSDC: NC_062946"	NA	NA	"Achnatherum"	NA	"Stipeae"	"Pooideae"	"BOP"
"Acidosasa_purpurea_Bam10__HM"	NA	"Acidosasa purpurea"	"Acidosasa purpurea"	"(Hsueh & T.P.Yi) Keng f."	"Acidosasa"	"C.D.Chu & C.S.Chao"	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: Bam10"	NA	NA	"INSDC: SRR15852812"	NA	NA	NA	"Acidosasa"	"Arundinariinae"	"Arundinarieae"	"Bambusoideae"	"BOP"
NA	"NC_015820.1__Acidosasa_purpurea"	"Acidosasa purpurea"	"Acidosasa purpurea"	"(Hsueh & T.P.Yi) Keng f."	"Acidosasa"	"C.D.Chu & C.S.Chao"	NA	"plastome"	NA	NA	NA	NA	"INSDC: NC_015820"	NA	NA	"Acidosasa"	"Arundinariinae"	"Arundinarieae"	"Bambusoideae"	"BOP"
"Achrachne_racemosa__TC"	"Achrachne_racemosa__TC"	"Acrachne racemosa"	"Acrachne racemosa"	"(B.Heyne ex Roth) Ohwi"	"Acrachne"	"Wight & Arn. ex Chiov."	"Fisher et al. 2016 Mol Phyl Evol https://doi.org/10.1016/j.ympev.2016.08.011"	"sequence capture (chloridoids 122)"	NA	"RSA: J. T. Columbus 5534"	NA	NA	NA	"species duplicated"	NA	"Acrachne"	"Dactylocteniinae"	"Cynodonteae"	"Chloridoideae"	"PACMAD"
"GAP_80284__Acrachne_racemosa"	NA	"Acrachne racemosa"	"Acrachne racemosa"	"(B.Heyne ex Roth) Ohwi"	"Acrachne"	"Wight & Arn. ex Chiov."	"https://www.genomicsforaustralianplants.com/"	"sequence capture (Angiosperms353)"	NA	"CANB: Trudgen, M.E. 12507"	NA	NA	NA	NA	"species duplicated"	"Acrachne"	"Dactylocteniinae"	"Cynodonteae"	"Chloridoideae"	"PACMAD"
"PAFTOL_5927__Acritochaete_volkensii"	NA	"Acritochaete volkensii"	"Acritochaete volkensii"	"Pilg."	"Acritochaete"	"Pilg."	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Carvalho 3699"	NA	"INSDC: ERR7619644"	NA	NA	"data thresholds"	"Acritochaete"	"Cenchrinae"	"Paniceae"	"Panicoideae"	"PACMAD"
"Acroceras_calcicola1812__MD"	"Acroceras_calcicola1812__MD"	"Acroceras calcicola"	"Acroceras calcicola"	"A.Camus"	"Acroceras"	"Stapf"	"Unpublished"	"shotgun"	NA	NA	"Kew, MSB: MSB 99378"	NA	NA	"data thresholds"	NA	"Acroceras"	"Boivinellinae"	"Paniceae"	"Panicoideae"	"PACMAD"
"PAFTOL_5929__Acroceras_calcicola"	NA	"Acroceras calcicola"	"Acroceras calcicola"	"A.Camus"	"Acroceras"	"Stapf"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"TAN: Vorontsova, M.S. 1379"	NA	"INSDC: ERR7619646"	NA	NA	"species duplicated"	"Acroceras"	"Boivinellinae"	"Paniceae"	"Panicoideae"	"PACMAD"
"PAFTOL_5930__Acroceras_tonkinense"	"PAFTOL_5930__Acroceras_tonkinense"	"Acroceras tonkinense"	"Acroceras tonkinense"	"(Balansa) C.E.Hubb. ex Bor"	"Acroceras"	"Stapf"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Norsangsri, M. 2478"	NA	"INSDC: ERR7619647"	NA	NA	NA	"Acroceras"	"Boivinellinae"	"Paniceae"	"Panicoideae"	"PACMAD"
"PAFTOL_5931__Acroceras_zizanioides"	"PAFTOL_5931__Acroceras_zizanioides"	"Acroceras zizanioides"	"Acroceras zizanioides"	"(Kunth) Dandy"	"Acroceras"	"Stapf"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: J.M. Kimeu et al. 229"	NA	"INSDC: ERR7619648"	NA	NA	NA	"Acroceras"	"Boivinellinae"	"Paniceae"	"Panicoideae"	"PACMAD"
"PAFTOL_8551__Acrospelion_distichophyllum"	"PAFTOL_8551__Acrospelion_distichophyllum"	"Acrospelion distichophyllum"	"Acrospelion distichophyllum"	"(Vill.) Barberá"	"Acrospelion"	"Besser"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: SCD 0757577"	NA	"INSDC: ERR7621070"	NA	NA	NA	"Acrospelion"	"Aveninae"	"Poeae"	"Pooideae"	"BOP"
"Actinocladum_verticillatum1145__MD"	"Actinocladum_verticillatum1145__MD"	"Actinocladum verticillatum"	"Actinocladum verticillatum"	"(Nees) McClure ex Soderstr."	"Actinocladum"	"McClure ex Soderstr."	"Unpublished"	"shotgun"	NA	"SI: T. Filgueiras s. n."	NA	NA	NA	"data thresholds"	NA	"Actinocladum"	"Arthrostylidiinae"	"Bambuseae"	"Bambusoideae"	"BOP"
"PAFTOL_9137__Actinocladum_verticillatum"	NA	"Actinocladum verticillatum"	"Actinocladum verticillatum"	"(Nees) McClure ex Soderstr."	"Actinocladum"	"McClure ex Soderstr."	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Clark, L. 767"	NA	"INSDC: ERR7621441"	NA	NA	"data thresholds"	"Actinocladum"	"Arthrostylidiinae"	"Bambuseae"	"Bambusoideae"	"BOP"
"PAFTOL_8037__Adenochloa_hymeniochila"	"PAFTOL_8037__Adenochloa_hymeniochila"	"Adenochloa hymeniochila"	"Adenochloa hymeniochila"	"(Nees) Zuloaga"	"Adenochloa"	"Zuloaga"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Nanjarisoa 100"	NA	"INSDC: ERR7620823"	NA	NA	NA	"Adenochloa"	"Dichantheliinae"	"Paniceae"	"Panicoideae"	"PACMAD"
"Aegilops_geniculata_K53__HM"	NA	"Aegilops geniculata"	"Aegilops geniculata"	"Roth"	"Aegilops"	"L."	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: K53"	NA	NA	"INSDC: SRR16234981"	NA	NA	NA	"Aegilops"	NA	"Triticeae"	"Pooideae"	"BOP"
NA	"NC_023097.1__Aegilops_geniculata"	"Aegilops geniculata"	"Aegilops geniculata"	"Roth"	"Aegilops"	"L."	NA	"plastome"	NA	NA	NA	NA	"INSDC: NC_023097"	NA	NA	"Aegilops"	NA	"Triticeae"	"Pooideae"	"BOP"
"REF___Aegilops_tauschii__genome"	NA	"Aegilops tauschii subsp. strangulata"	"Aegilops tauschii subsp. strangulata"	"(Eig) Tzvelev"	"Aegilops"	"L."	"assembled genome"	"complete genome"	"USA: cultivar AL8/78"	NA	NA	"INSDC: GCF_001957025.1"	NA	NA	NA	"Aegilops"	NA	"Triticeae"	"Pooideae"	"BOP"
NA	"NC_022133.1__Aegilops_tauschii"	"Aegilops tauschii subsp. strangulata"	"Aegilops tauschii subsp. strangulata"	"(Eig) Tzvelev"	"Aegilops"	"L."	NA	"plastome"	NA	NA	NA	NA	"INSDC: NC_022133"	NA	NA	"Aegilops"	NA	"Triticeae"	"Pooideae"	"BOP"
"Aeluropus_pungens__TC"	"Aeluropus_pungens__TC"	"Aeluropus pungens"	"Aeluropus littoralis"	"(Gouan) Parl."	"Aeluropus"	"Trin."	"Fisher et al. 2016 Mol Phyl Evol https://doi.org/10.1016/j.ympev.2016.08.011"	"sequence capture (chloridoids 122)"	NA	"RSA: American-Iranian Botanical Delegation s.n. (TUH 34011)"	NA	NA	NA	"species duplicated"	NA	"Aeluropus"	"Aeluropodinae"	"Cynodonteae"	"Chloridoideae"	"PACMAD"
"Aeluropus_pungens_var_pungens_Tuh34011__HM"	NA	"Aeluropus pungens"	"Aeluropus littoralis"	"(Gouan) Parl."	"Aeluropus"	"Trin."	"Huang et al. 2022 Mol Plant"	"transcriptome"	"PSUML: Tuh34011"	NA	NA	"INSDC: SRR16483750"	NA	NA	"data thresholds"	"Aeluropus"	"Aeluropodinae"	"Cynodonteae"	"Chloridoideae"	"PACMAD"
"PAFTOL_7998__Agenium_leptocladum"	NA	"Agenium leptocladum"	"Agenium leptocladum"	"(Hack.) Clayton"	"Agenium"	"Nees"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"ICN: Fieker, C.Z. 13"	NA	"INSDC: ERR7620784"	NA	NA	NA	"Agenium"	"Anthistiriinae"	"Andropogoneae"	"Panicoideae"	"PACMAD"
NA	"NC_059819.1__Agenium_leptocladum"	"Agenium leptocladum"	"Agenium leptocladum"	"(Hack.) Clayton"	"Agenium"	"Nees"	NA	"plastome"	NA	NA	NA	NA	"INSDC: NC_059819"	NA	NA	"Agenium"	"Anthistiriinae"	"Andropogoneae"	"Panicoideae"	"PACMAD"
"Agropyron_cristatum_Z18066__HM"	NA	"Agropyron cristatum"	"Agropyron cristatum"	"(L.) Gaertn."	"Agropyron"	"Gaertn."	"Zhang et al. 2022 MBE"	"transcriptome"	"FDS: Z18066"	NA	NA	"INSDC: SRR16483105"	NA	NA	NA	"Agropyron"	NA	"Triticeae"	"Pooideae"	"BOP"
"PAFTOL_7990__Agropyron_cristatum"	"PAFTOL_7990__Agropyron_cristatum"	"Agropyron cristatum"	"Agropyron cristatum"	"(L.) Gaertn."	"Agropyron"	"Gaertn."	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"CAN: Saarela 337"	NA	"INSDC: ERR7620777"	NA	"data thresholds"	NA	"Agropyron"	NA	"Triticeae"	"Pooideae"	"BOP"
NA	"MN703668.1__Agropyron_cristatum"	"Agropyron cristatum"	"Agropyron cristatum"	"(L.) Gaertn."	"Agropyron"	"Gaertn."	NA	"plastome"	NA	NA	NA	NA	"INSDC: MN703668"	NA	NA	"Agropyron"	NA	"Triticeae"	"Pooideae"	"BOP"
"Agropyron_mongolicum_Z18065__HM"	NA	"Agropyron mongolicum"	"Agropyron mongolicum"	"Keng"	"Agropyron"	"Gaertn."	"Zhang et al. 2022 MBE"	"transcriptome"	"FDS: Z18065"	NA	NA	"INSDC: SRR16483034"	NA	NA	NA	"Agropyron"	NA	"Triticeae"	"Pooideae"	"BOP"
NA	"MH285848.1__Agropyron_mongolicum"	"Agropyron mongolicum"	"Agropyron mongolicum"	"Keng"	"Agropyron"	"Gaertn."	NA	"plastome"	NA	NA	NA	NA	"INSDC: MH285848"	NA	NA	"Agropyron"	NA	"Triticeae"	"Pooideae"	"BOP"
"PAFTOL_9124__Agropyropsis_lolium"	NA	"Agropyropsis lolium"	"Agropyropsis lolium"	"(Balansa ex Coss. & Durieu) A.Camus"	"Agropyropsis"	"(Batt. & Trab.) A.Camus"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Kralik  7"	NA	"INSDC: ERR7621428"	NA	NA	"data thresholds"	"Agropyropsis"	"Parapholiinae"	"Poeae"	"Pooideae"	"BOP"
"Agrostis_canina__SRA"	"Agrostis_canina__SRA"	"Agrostis canina"	"Agrostis canina"	"L."	"Agrostis"	"L."	"data from SRA"	"shotgun"	"DM471"	NA	NA	"INSDC: SRR12432466"	NA	NA	NA	"Agrostis"	"Agrostidinae"	"Poeae"	"Pooideae"	"BOP"
"Agrostis_gigantea813__MD"	"NC_037162.1__Agrostis_gigantea"	"Agrostis gigantea"	"Agrostis gigantea"	"Roth"	"Agrostis"	"L."	"Saarela et al. 2018"	"shotgun"	NA	NA	"USDA-GRIN: PI 619538"	NA	"INSDC: NC_037162"	"data thresholds"	NA	"Agrostis"	"Agrostidinae"	"Poeae"	"Pooideae"	"BOP"
"Agrostis_hookeriana_Z16028__HM"	NA	"Agrostis hookeriana"	"Agrostis hookeriana"	"C.B.Clarke ex Hook.f."	"Agrostis"	"L."	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: Z16028"	NA	NA	"INSDC: SRR16234967"	NA	NA	"data thresholds"	"Agrostis"	"Agrostidinae"	"Poeae"	"Pooideae"	"BOP"
"PAFTOL_9119__Agrostis_hygrometrica"	NA	"Agrostis hygrometrica"	"Agrostis hygrometrica"	"Nees"	"Agrostis"	"L."	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Parodi OR Pedersen, T.M. 7148"	NA	"INSDC: ERR7621424"	NA	NA	"data thresholds"	"Agrostis"	"Agrostidinae"	"Poeae"	"Pooideae"	"BOP"
"Agrostis_nervosa_Z16040__HM"	NA	"Agrostis nervosa"	"Agrostis nervosa"	"Nees ex Trin."	"Agrostis"	"L."	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: Z16040"	NA	NA	"INSDC: SRR16234962"	NA	NA	"data thresholds"	"Agrostis"	"Agrostidinae"	"Poeae"	"Pooideae"	"BOP"
"Agrostis_sinorupestris_Z16033__HM"	NA	"Agrostis sinorupestris"	"Agrostis sinorupestris"	"L.Liu ex S.M.Phillips & S.L.Lu"	"Agrostis"	"L."	"Zhang et al. 2022 MBE"	"transcriptome"	"FDS: Z16033"	NA	NA	"INSDC: SRR16483117"	NA	NA	"data thresholds"	"Agrostis"	"Agrostidinae"	"Poeae"	"Pooideae"	"BOP"
"PAFTOL_8552__Agrostopoa_woodii"	"PAFTOL_8552__Agrostopoa_woodii"	"Agrostopoa woodii"	"Agrostopoa woodii"	"Soreng, P.M.Peterson & Davidse"	"Agrostopoa"	"Davidse, Soreng & P.M.Peterson"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Wood, J.R.I. 5268"	NA	"INSDC: ERR7621071"	NA	NA	NA	"Agrostopoa"	"Poinae"	"Poeae"	"Pooideae"	"BOP"
"Aira_caryophyllea1807__MD"	"MT094316.1__Aira_caryophyllea"	"Aira caryophyllea"	"Aira caryophyllea"	"L."	"Aira"	"L."	"Orton et al. 2021"	"shotgun"	NA	"R. Probert 5/3"	"Kew, MSB: MSB 9634"	NA	"INSDC: MT094316"	"data thresholds"	NA	"Aira"	"Airinae"	"Poeae"	"Pooideae"	"BOP"
"Aira_caryophyllea_K04__HM"	NA	"Aira caryophyllea"	"Aira caryophyllea"	"L."	"Aira"	"L."	"Zhang et al. 2022 MBE"	"transcriptome"	"FDS: K04"	NA	NA	"INSDC: SRR16483062"	NA	NA	"data thresholds"	"Aira"	"Airinae"	"Poeae"	"Pooideae"	"BOP"
"Aira_cupaniana1137__MD"	"MT094315.1__Aira_cupaniana"	"Aira cupaniana"	"Aira cupaniana"	"Guss."	"Aira"	"L."	"Orton et al. 2021"	"shotgun"	NA	"P. Newman et al. 90/1"	"Kew, MSB: MSB 27827"	NA	"INSDC: MT094315"	"data thresholds"	NA	"Aira"	"Airinae"	"Poeae"	"Pooideae"	"BOP"
"Aira_praecox_K03__HM"	NA	"Aira praecox"	"Aira praecox"	"L."	"Aira"	"L."	"Zhang et al. 2022 MBE"	"transcriptome"	"FDS: K03"	NA	NA	"INSDC: SRR16483063"	NA	NA	"data thresholds"	"Aira"	"Airinae"	"Poeae"	"Pooideae"	"BOP"
"PAFTOL_8021__Alexfloydia_repens"	NA	"Alexfloydia repens"	"Alexfloydia repens"	"B.K.Simon"	"Alexfloydia"	"B.K.Simon"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"BRI: Floyd, A.G. 2218"	NA	"INSDC: ERR7620807"	NA	NA	"data thresholds"	"Alexfloydia"	"Cenchrinae"	"Paniceae"	"Panicoideae"	"PACMAD"
"PAFTOL_8012__Alloeochaete_gracillima"	NA	"Alloeochaete gracillima"	"Alloeochaete gracillima"	"Kabuye"	"Alloeochaete"	"C.E.Hubb."	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Patel, I.H. 814"	NA	"INSDC: ERR7620798"	NA	NA	"data thresholds"	"Alloeochaete"	NA	NA	"Panicoideae"	"PACMAD"
NA	"NC_035519.1__Alloeochaete_uluguruensis"	"Alloeochaete ulugurensis"	"Alloeochaete ulugurensis"	"Kabuye"	"Alloeochaete"	"C.E.Hubb."	"Teisher et al. 2017 Ann. Bot. https://doi.org/10.1093%2Faob%2Fmcx058"	"plastome"	NA	"Abeid 3692"	NA	NA	"INSDC: NC_035519"	"data thresholds"	NA	"Alloeochaete"	NA	NA	"Panicoideae"	"PACMAD"
"Alloteropsis_angustareseq__PAC"	NA	"Alloteropsis angusta"	"Alloteropsis angusta"	"Stapf"	"Alloteropsis"	"J.Presl"	"10.1073/pnas.1810031116"	"shotgun"	"AANG5-51 (TAN16-01-51)"	""	NA	"INSDC: SRR7528995"	NA	NA	NA	"Alloteropsis"	"Boivinellinae"	"Paniceae"	"Panicoideae"	"PACMAD"
NA	"NC_027951.1__Alloteropsis_angusta"	"Alloteropsis angusta"	"Alloteropsis angusta"	"Stapf"	"Alloteropsis"	"J.Presl"	NA	"plastome"	NA	NA	NA	NA	"INSDC: NC_027951"	NA	NA	"Alloteropsis"	"Boivinellinae"	"Paniceae"	"Panicoideae"	"PACMAD"
"Alloteropsis_cimicina__PAC"	"KT281156.1__Alloteropsis_cimicina"	"Alloteropsis cimicina"	"Alloteropsis cimicina"	"(L.) Stapf"	"Alloteropsis"	"J.Presl"	"10.1111/mec.13914"	"shotgun"	NA	"K: R.C. Hall 20 "	NA	"INSDC: SRR4051979 "	"INSDC: KT281156"	NA	NA	"Alloteropsis"	"Boivinellinae"	"Paniceae"	"Panicoideae"	"PACMAD"
"Alloteropsis_paniculata__PAC"	"NC_032078.1__Alloteropsis_paniculata"	"Alloteropsis paniculata"	"Alloteropsis paniculata"	"(Benth.) Stapf"	"Alloteropsis"	"J.Presl"	"Olofsson et al. 2016 Mol Ecol 25:6107-6123"	"shotgun"	NA	"K: M.S. Vorontsova 627"	NA	NA	"INSDC: NC_032078"	NA	NA	"Alloteropsis"	"Boivinellinae"	"Paniceae"	"Panicoideae"	"PACMAD"
"REF___Alloteropsis_semialata__genome"	NA	"Alloteropsis semialata"	"Alloteropsis semialata"	"(R.Br.) Hitchc."	"Alloteropsis"	"J.Presl"	"assembled genome"	"complete genome"	"Australia: AUS1-1"	NA	NA	"INSDC: GCA_004135705.1"	NA	NA	NA	"Alloteropsis"	"Boivinellinae"	"Paniceae"	"Panicoideae"	"PACMAD"
NA	"NC_027824.1__Alloteropsis_semialata"	"Alloteropsis semialata"	"Alloteropsis semialata"	"(R.Br.) Hitchc."	"Alloteropsis"	"J.Presl"	NA	"plastome"	NA	NA	NA	NA	"INSDC: NC_027824"	NA	NA	"Alloteropsis"	"Boivinellinae"	"Paniceae"	"Panicoideae"	"PACMAD"
"Alopecurus_aequalis_Z160505__HM"	NA	"Alopecurus aequalis"	"Alopecurus aequalis"	"Sobol."	"Alopecurus"	"L."	"Zhang et al. 2022 MBE"	"transcriptome"	"FDS: Z160505"	NA	NA	"INSDC: SRR16483115"	NA	NA	NA	"Alopecurus"	"Alopecurinae"	"Poeae"	"Pooideae"	"BOP"
NA	"NC_047228.1__Alopecurus_aequalis"	"Alopecurus aequalis"	"Alopecurus aequalis"	"Sobol."	"Alopecurus"	"L."	NA	"plastome"	NA	NA	NA	NA	"INSDC: NC_047228"	NA	NA	"Alopecurus"	"Alopecurinae"	"Poeae"	"Pooideae"	"BOP"
"Alopecurus_arundinaceus819__MD"	"NC_037163.1__Alopecurus_arundinaceus"	"Alopecurus arundinaceus"	"Alopecurus arundinaceus"	"Poir."	"Alopecurus"	"L."	"Saarela et al. 2018"	"shotgun"	NA	NA	"USDA-GRIN: PI 380664"	NA	"INSDC: NC_037163"	NA	NA	"Alopecurus"	"Alopecurinae"	"Poeae"	"Pooideae"	"BOP"
"Alopecurus_japonicus_HM2043__HM"	"NC_047229.1__Alopecurus_japonicus"	"Alopecurus japonicus"	"Alopecurus japonicus"	"Steud."	"Alopecurus"	"L."	"Zhang et al. 2022 MBE"	"transcriptome"	"FDS: HM2043"	NA	NA	"INSDC: SRR16483042"	"INSDC: NC_047229"	NA	NA	"Alopecurus"	"Alopecurinae"	"Poeae"	"Pooideae"	"BOP"
"PAFTOL_025585__Panicoideae_sp"	NA	"Altoparadisium chapadense"	"Altoparadisium chapadense"	"Filg., Davidse, Zuloaga & Morrone"	"Altoparadisium"	"Filg., Davidse, Zuloaga & Morrone"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Monteiro, R.F. 150"	NA	NA	NA	NA	"data thresholds"	"Altoparadisium"	"Arthropogoninae"	"Paspaleae"	"Panicoideae"	"PACMAD"
"PAFTOL_6374__Altoparadisium_scabrum"	"PAFTOL_6374__Altoparadisium_scabrum"	"Altoparadisium scabrum"	"Altoparadisium scabrum"	"(Pilg. & Kuhlm.) Filg., Davidse, Zuloaga & Morrone"	"Altoparadisium"	"Filg., Davidse, Zuloaga & Morrone"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Wood, J.R.I.; Villarroel, D.; Pozo, P. 25107"	NA	"INSDC: ERR7619912"	NA	NA	NA	"Altoparadisium"	"Arthropogoninae"	"Paspaleae"	"Panicoideae"	"PACMAD"
"PAFTOL_9132__Alvimia_lancifolia"	NA	"Alvimia lancifolia"	"Alvimia lancifolia"	"Soderstr. & Londoño"	"Alvimia"	"C.E.Calderón ex Soderstr. & Londoño"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Calderón, C.E. 2467"	NA	"INSDC: ERR7621436"	NA	NA	"data thresholds"	"Alvimia"	"Arthrostylidiinae"	"Bambuseae"	"Bambusoideae"	"BOP"
"PAFTOL_8536__Amelichloa_ambigua"	NA	"Amelichloa ambigua"	"Amelichloa ambigua"	"(Speg.) Arriaga & Barkworth"	"Amelichloa"	"Arriaga & Barkworth"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Proyecto Ventaria 614"	NA	"INSDC: ERR7621055"	NA	NA	"data thresholds"	"Amelichloa"	NA	"Stipeae"	"Pooideae"	"BOP"
"Stipa_brachychaeta1231__MD"	NA	"Stipa brachychaeta"	"Amelichloa brachychaeta"	"(Godr.) Arriaga & Barkworth"	"Amelichloa"	"Arriaga & Barkworth"	"Orton et al. 2019"	"shotgun"	NA	NA	"USDA-GRIN: PI 197978"	NA	NA	"data thresholds"	NA	"Amelichloa"	NA	"Stipeae"	"Pooideae"	"BOP"
NA	"NC_042701.1__Amelichloa_brachychaeta"	"Stipa brachychaeta"	"Amelichloa brachychaeta"	"(Godr.) Arriaga & Barkworth"	"Amelichloa"	"Arriaga & Barkworth"	NA	"plastome"	NA	NA	NA	NA	"INSDC: NC_042701"	NA	NA	"Amelichloa"	NA	"Stipeae"	"Pooideae"	"BOP"
"Ammochloa_palaestina1625__MD"	"MH569075.1__Ammochloa_palaestina"	"Ammochloa palaestina"	"Ammochloa palaestina"	"Boiss."	"Ammochloa"	"Boiss."	"Unpublished"	"shotgun"	NA	"US: R. Lazaro s. n."	NA	NA	"INSDC: MH569075"	NA	NA	"Ammochloa"	"Ammochloinae"	"Poeae"	"Pooideae"	"BOP"
"Ampelocalamus_actinotrichus_Bam02__HM"	NA	"Ampelocalamus actinotrichus"	"Ampelocalamus actinotrichus"	"(Merr. & Chun) S.L.Chen T.H.Wen & G.Y.Sheng"	"Ampelocalamus"	"S.L.Chen T.H.Wen & G.Y.Sheng"	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: Bam02"	NA	NA	"INSDC: SRR15852813"	NA	NA	NA	"Ampelocalamus"	"Ampelocalaminae"	"Arundinarieae"	"Bambusoideae"	"BOP"
