"analysis_ID"	"analysis_ID_plastome"	"species_orig"	"acc_species"	"acc_species_author"	"acc_genus"	"acc_genus_author"	"publication"	"data_type"	"isolate"	"voucher_ID"	"germplasm_ID"	"repo_accession"	"plastome_accession"	"removed_nuclear"	"removed_plastome"	"soreng2022_genus"	"subtribe"	"tribe"	"subfamily"	"major.clade"
"PAFTOL_9164__Sirochloa_parvifolia"	"PAFTOL_9164__Sirochloa_parvifolia"	"Sirochloa parvifolia"	"Sirochloa parvifolia"	"(Munro) S.Dransf."	"Sirochloa"	"S.Dransf."	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Dransfield 1542"	NA	"INSDC: ERR7621467"	NA	NA	NA	"Sirochloa"	"Hickeliinae"	"Bambuseae"	"Bambusoideae"	"BOP"
"PAFTOL_8368__Soejatmia_ridleyi"	NA	"Soejatmia ridleyi"	"Soejatmia ridleyi"	"(Gamble) K.M.Wong"	"Soejatmia"	"K.M.Wong"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"KLU: Low, Y.W. 135"	NA	"INSDC: ERR7620917"	NA	NA	"data thresholds"	"Soejatmia"	"Bambusinae"	"Bambuseae"	"Bambusoideae"	"BOP"
"Sohnsia_filifolia_Colu4038__HM"	NA	"Sohnsia filifolia"	"Sohnsia filifolia"	"(E.Fourn.) Airy Shaw"	"Sohnsia"	"Airy Shaw"	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: Colu4038"	NA	NA	"INSDC: SRR16260849"	NA	NA	"data thresholds"	"Sohnsia"	"Sohnsiinae"	"Cynodonteae"	"Chloridoideae"	"PACMAD"
"PAFTOL_9165__Sokinochloa_bosseri"	NA	"Sokinochloa bosseri"	"Sokinochloa bosseri"	"S.Dransf."	"Sokinochloa"	"S.Dransf."	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Dransfield 1541"	NA	"INSDC: ERR7621468"	NA	NA	"data thresholds"	"Sokinochloa"	"Hickeliinae"	"Bambuseae"	"Bambusoideae"	"BOP"
"Cephalostachyum_vilgueras1303__MD"	"Cephalostachyum_vilgueras1303__MD"	"Cephalostachyum viguieri"	"Sokinochloa viguieri"	"(A.Camus) S.Dransf."	"Sokinochloa"	"S.Dransf."	"Unpublished"	"shotgun"	NA	NA	NA	NA	NA	"data thresholds"	NA	"Sokinochloa"	"Hickeliinae"	"Bambuseae"	"Bambusoideae"	"BOP"
"Sorghastrum_fuscescens__PANAND"	"Sorghastrum_fuscescens__EK_PanAnd"	"Sorghastrum fuscescens"	"Sorghastrum fuscescens"	"(Pilg.) Clayton"	"Sorghastrum"	"Nash"	"Schulz et al., 2023, bioRxiv, doi.org/10.1101/2023.09.19.558246"	"shotgun"	NA	"MO: Pasquet 1241"	"Silica leaf from Kellogg lab: Pasquet 1241"	"INSDC: PRJNA919033"	NA	NA	NA	"Sorghastrum"	"Apludinae"	"Andropogoneae"	"Panicoideae"	"PACMAD"
"Sorghastrum_nutans__MD"	"KU291482.1__Sorghastrum_nutans"	"Sorghastrum nutans"	"Sorghastrum nutans"	"(L.) Nash"	"Sorghastrum"	"Nash"	"Burke et al. 2016"	"shotgun"	NA	"DEK: Wysocki s.n."	NA	NA	"INSDC: KU291482"	"data thresholds"	NA	"Sorghastrum"	"Apludinae"	"Andropogoneae"	"Panicoideae"	"PACMAD"
"Sorghum_arundinaceum__PANAND"	"Sorghum_arundinaceum__EK_PanAnd"	"Sorghum arundinaceum"	"Sorghum arundinaceum"	"(Desv.) Stapf"	"Sorghum"	"Moench"	"Schulz et al., 2023, bioRxiv, doi.org/10.1101/2023.09.19.558246"	"shotgun"	NA	"MO: AUB & Bookout 106"	"Leaf from AUB & Bookout 106"	"INSDC: PRJNA919033"	NA	NA	NA	"Sorghum"	"Sorghinae"	"Andropogoneae"	"Panicoideae"	"PACMAD"
"REF___Sorghum_bicolor__genome"	"NC_008602.1__Sorghum_bicolor"	"Sorghum bicolor"	"Sorghum bicolor"	"(L.) Moench"	"Sorghum"	"Moench"	"phytozome v13"	"complete genome"	"v3.1.1"	NA	NA	"INSDC: ABXC03000000"	"INSDC: NC_008602"	NA	NA	"Sorghum"	"Sorghinae"	"Andropogoneae"	"Panicoideae"	"PACMAD"
"Sorghum_halepense_HM3618__HM"	NA	"Sorghum halepense"	"Sorghum halepense"	"(L.) Pers."	"Sorghum"	"Moench"	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: HM3618"	NA	NA	"INSDC: SRR16103876"	NA	NA	"data thresholds"	"Sorghum"	"Sorghinae"	"Andropogoneae"	"Panicoideae"	"PACMAD"
"Sorghum_halepense__SRA"	"Sorghum_halepense__SRA"	"Sorghum halepense"	"Sorghum halepense"	"(L.) Pers."	"Sorghum"	"Moench"	"data from SRA"	"shotgun"	"Gypsum9"	NA	NA	"INSDC: SRR486216"	NA	"species duplicated"	NA	"Sorghum"	"Sorghinae"	"Andropogoneae"	"Panicoideae"	"PACMAD"
"PAFTOL_8431__Sorghum_macrospermum"	NA	"Sorghum macrospermum"	"Sorghum macrospermum"	"E.D.Garber"	"Sorghum"	"Moench"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Lazarides, M. 6847"	NA	"INSDC: ERR7620976"	NA	NA	"data thresholds"	"Sorghum"	"Sorghinae"	"Andropogoneae"	"Panicoideae"	"PACMAD"
"PAFTOL_8011__Spartochloa_scirpoidea"	"PAFTOL_8011__Spartochloa_scirpoidea"	"Spartochloa scirpoidea"	"Spartochloa scirpoidea"	"(Steud.) C.E.Hubb."	"Spartochloa"	"C.E.Hubb."	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"PERTH: MacFarlane, T.D. 6919"	NA	"INSDC: ERR7620797"	NA	NA	NA	"Spartochloa"	NA	"Cyperochloeae"	"Panicoideae"	"PACMAD"
"PAFTOL_8007__Spathia_neurosa"	"PAFTOL_8007__Spathia_neurosa"	"Spathia neurosa"	"Spathia neurosa"	"Ewart & Archer"	"Spathia"	"Ewart"	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"BRI: Thompson, E.J. 1051"	NA	"INSDC: ERR7620793"	NA	NA	NA	"Spathia"	NA	"Andropogoneae"	"Panicoideae"	"PACMAD"
"PAFTOL_8369__Sphaerobambos_hirsuta"	"PAFTOL_8369__Sphaerobambos_hirsuta"	"Sphaerobambos hirsuta"	"Sphaerobambos hirsuta"	"S.Dransf."	"Sphaerobambos"	"S.Dransf."	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"KLU: Meng, W.K. 2984"	NA	"INSDC: ERR7620918"	NA	NA	NA	"Sphaerobambos"	"Dinochloinae"	"Bambuseae"	"Bambusoideae"	"BOP"
"Sphaerocaryum_malaccense_Z18112__HM"	NA	"Sphaerocaryum malaccense"	"Sphaerocaryum malaccense"	"(Trin.) Pilg."	"Sphaerocaryum"	"Nees ex Hook.f."	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: Z18112"	NA	NA	"INSDC: SRR15716420"	NA	NA	"data thresholds"	"Sphaerocaryum"	NA	"Isachneae"	"Micrairoideae"	"PACMAD"
"PAFTOL_6370__Sphaerocaryum_malaccense"	"PAFTOL_6370__Sphaerocaryum_malaccense"	"Sphaerocaryum malaccense"	"Sphaerocaryum malaccense"	"(Trin.) Pilg."	"Sphaerocaryum"	"Nees ex Hook.f."	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Hu, S. Y.  12372"	NA	"INSDC: ERR7619908"	NA	"species duplicated"	NA	"Sphaerocaryum"	NA	"Isachneae"	"Micrairoideae"	"PACMAD"
"Sphenopholis_intermedia1816__MD"	"MT094331.1__Sphenopholis_intermedia"	"Sphenopholis intermedia"	"Sphenopholis intermedia"	"(Rydb.) Rydb."	"Sphenopholis"	"Scribn."	"Orton et al. 2021"	"shotgun"	NA	"CBG: M. Milde 05-110"	"Kew, MSB: 307008"	NA	"INSDC: MT094331"	NA	NA	"Sphenopholis"	"Aveninae"	"Poeae"	"Pooideae"	"BOP"
"Sphenopholis_obtusata_5RNA__HM"	NA	"Sphenopholis obtusata"	"Sphenopholis obtusata"	"(Michx.) Scribn."	"Sphenopholis"	"Scribn."	"Zhang et al. 2022 MBE"	"transcriptome"	"PSUML: 5RNA"	NA	NA	"INSDC: SRR16483075"	NA	NA	"data thresholds"	"Sphenopholis"	"Aveninae"	"Poeae"	"Pooideae"	"BOP"
"PAFTOL_8030__Spinifex_hirsutus"	"PAFTOL_8030__Spinifex_hirsutus"	"Spinifex hirsutus"	"Spinifex hirsutus"	"Labill."	"Spinifex"	"L."	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"PERTH: MacFarlane, T.D. 6892"	NA	"INSDC: ERR7620816"	NA	NA	NA	"Spinifex"	"Cenchrinae"	"Paniceae"	"Panicoideae"	"PACMAD"
"Spinifex_littoreus_Z18044__HM"	NA	"Spinifex littoreus"	"Spinifex littoreus"	"(Burm.f.) Merr."	"Spinifex"	"L."	"Huang et al. 2022 Mol Plant"	"transcriptome"	"FDS: Z18044"	NA	NA	"INSDC: SRR16243456"	NA	NA	"data thresholds"	"Spinifex"	"Cenchrinae"	"Paniceae"	"Panicoideae"	"PACMAD"
"PAFTOL_8424__Spodiopogon_dubius"	"PAFTOL_8424__Spodiopogon_dubius"	"Spodiopogon dubius"	"Spodiopogon dubius"	"Hack."	"Spodiopogon"	"Trin."	"https://treeoflife.kew.org/"	"sequence capture (Angiosperms353)"	NA	"K: Sharma, M.L. 268"	NA	"INSDC: ERR7620971"	NA	NA	NA	"Spodiopogon"	NA	"Andropogoneae"	"Panicoideae"	"PACMAD"
"Sporobolus_alterniflorus__SRA"	NA	"Sporobolus alterniflorus"	"Sporobolus alterniflorus"	"(Loisel.) P.M.Peterson & Saarela"	"Sporobolus"	"R.Br."	"data from SRA"	"shotgun"	"IRGN:RG_29706"	NA	NA	"INSDC: SRR7523571"	NA	NA	NA	"Sporobolus"	"Sporobolinae"	"Zoysieae"	"Chloridoideae"	"PACMAD"
